timestamp,date,tic,day,open,high,low,close,volume
0,2017-11-06,BNBUSDT,0,1.5,1.799,0.5,1.571,120615.34
0,2017-11-06,BTCUSDT,0,7345.1,7401.0,6906.0,6960.12,1763.019261
0,2017-11-06,ETHUSDT,0,295.19,305.58,290.11,297.97,7515.50103
1,2017-11-07,BNBUSDT,1,1.571,1.8,1.5389,1.8,134129.73
1,2017-11-07,BTCUSDT,1,6981.72,7198.49,6901.0,7064.04,1440.259494
1,2017-11-07,ETHUSDT,1,297.25,303.52,287.0,291.78,9418.57881
2,2017-11-08,BNBUSDT,2,1.7901,1.99,1.7479,1.9889,347290.26
2,2017-11-08,BTCUSDT,2,7070.0,7770.02,6651.0,7303.0,2822.298802
2,2017-11-08,ETHUSDT,2,291.31,320.0,290.02,303.02,15961.85772
3,2017-11-09,BNBUSDT,3,1.9781,2.1997,1.9,1.99,287037.2
3,2017-11-09,BTCUSDT,3,7303.01,7392.0,7015.0,7079.99,1913.398308
3,2017-11-09,ETHUSDT,3,303.6,329.0,299.5,317.87,11151.29946
4,2017-11-10,BNBUSDT,4,1.99,2.02,1.6019,1.7133,484658.9
4,2017-11-10,BTCUSDT,4,7079.0,7279.91,6255.01,6506.98,3254.704105
4,2017-11-10,ETHUSDT,4,318.5,322.65,285.82,293.5,15597.16557
5,2017-11-11,BNBUSDT,5,1.79,1.925,1.58,1.655,258838.37
5,2017-11-11,BTCUSDT,5,6503.0,6797.98,6100.0,6245.05,2754.156861
5,2017-11-11,ETHUSDT,5,293.52,318.0,291.91,310.02,10850.16279
6,2017-11-12,BNBUSDT,6,1.6567,1.7,1.34,1.49,457159.72
6,2017-11-12,BTCUSDT,6,6245.05,6630.0,5325.01,5811.03,4968.483069
6,2017-11-12,ETHUSDT,6,310.87,316.99,281.01,305.24,21123.15319
7,2017-11-13,BNBUSDT,0,1.5,1.7381,1.5,1.68,166770.73
7,2017-11-13,BTCUSDT,0,5839.94,6697.47,5699.99,6465.99,2621.243039
7,2017-11-13,ETHUSDT,0,304.0,318.88,303.7,312.99,15551.67434
8,2017-11-14,BNBUSDT,1,1.6801,1.7381,1.5321,1.5911,177246.45
8,2017-11-14,BTCUSDT,1,6465.99,6684.98,6311.07,6574.99,1254.292531
8,2017-11-14,ETHUSDT,1,313.0,337.54,312.94,335.61,17709.2227
9,2017-11-15,BNBUSDT,2,1.5721,1.6794,1.49,1.5532,297638.34
9,2017-11-15,BTCUSDT,2,6575.99,7298.0,6575.99,7240.06,1779.605845
9,2017-11-15,ETHUSDT,2,335.6,339.0,324.0,331.33,15597.16131
10,2017-11-16,BNBUSDT,3,1.5533,1.6699,1.511,1.5599,198029.66
10,2017-11-16,BTCUSDT,3,7240.14,7940.0,7076.0,7864.5,2331.95675
10,2017-11-16,ETHUSDT,3,330.98,334.75,321.41,331.49,14145.71696
11,2017-11-17,BNBUSDT,4,1.5599,1.5765,1.49,1.5041,419446.58
11,2017-11-17,BTCUSDT,4,7876.98,7989.0,7451.0,7699.19,3982.395925
11,2017-11-17,ETHUSDT,4,331.49,334.6,323.84,331.23,18042.02544
12,2017-11-18,BNBUSDT,5,1.5041,1.6699,1.492,1.6699,172099.86
12,2017-11-18,BTCUSDT,5,7680.01,7819.99,7422.0,7761.94,3954.266477
12,2017-11-18,ETHUSDT,5,331.2,349.9,326.01,346.66,14361.4973
13,2017-11-19,BNBUSDT,6,1.6524,1.6948,1.575,1.6,179701.62
13,2017-11-19,BTCUSDT,6,7761.94,8123.15,7650.33,8038.0,3867.340444
13,2017-11-19,ETHUSDT,6,346.66,373.56,343.07,354.15,19397.74898
14,2017-11-20,BNBUSDT,0,1.6,1.6522,1.5605,1.64,159737.16
14,2017-11-20,BTCUSDT,0,8057.11,8319.99,7954.0,8212.0,3886.634348
14,2017-11-20,ETHUSDT,0,355.15,372.5,353.9,367.42,18277.0194
15,2017-11-21,BNBUSDT,1,1.6257,1.6419,1.54,1.5874,413447.37
15,2017-11-21,BTCUSDT,1,8212.49,8400.0,7801.0,8119.51,4544.474016
15,2017-11-21,ETHUSDT,1,367.42,375.5,350.02,362.12,26237.64398
16,2017-11-22,BNBUSDT,2,1.5728,1.6211,1.5556,1.6158,196457.62
16,2017-11-22,BTCUSDT,2,8091.09,8322.68,8091.09,8205.92,3545.00571
16,2017-11-22,ETHUSDT,2,362.12,384.84,359.0,380.65,18121.58484
17,2017-11-23,BNBUSDT,3,1.6,1.618,1.5388,1.57,184458.49
17,2017-11-23,BTCUSDT,3,8233.03,8260.0,8000.0,8019.99,4093.952687
17,2017-11-23,ETHUSDT,3,380.63,425.0,370.02,405.0,25409.00111
18,2017-11-24,BNBUSDT,4,1.5644,1.8187,1.54,1.7292,644218.58
18,2017-11-24,BTCUSDT,4,8019.97,8369.0,7850.0,8138.0,4411.789112
18,2017-11-24,ETHUSDT,4,405.03,475.0,392.8,469.0,30398.35831
19,2017-11-25,BNBUSDT,5,1.712,1.9588,1.68,1.87,475443.08
19,2017-11-25,BTCUSDT,5,8138.99,8734.78,8090.0,8700.01,4292.623682
19,2017-11-25,ETHUSDT,5,467.57,484.47,450.0,461.82,21428.63117
20,2017-11-26,BNBUSDT,6,1.85,1.91,1.76,1.8388,193666.26
20,2017-11-26,BTCUSDT,6,8700.04,9350.0,8604.72,9128.02,4147.380237
20,2017-11-26,ETHUSDT,6,461.0,465.0,436.14,462.84,21691.11759
21,2017-11-27,BNBUSDT,0,1.8388,1.9532,1.74,1.9532,480695.73
21,2017-11-27,BTCUSDT,0,9128.0,9654.28,9112.04,9650.0,4521.625707
21,2017-11-27,ETHUSDT,0,462.84,486.94,453.0,472.31,23761.11416
22,2017-11-28,BNBUSDT,1,1.945,1.9532,1.801,1.9249,359515.94
22,2017-11-28,BTCUSDT,1,9650.0,9939.0,9570.5,9896.8,4917.210985
22,2017-11-28,ETHUSDT,1,472.32,477.5,453.5,466.17,23967.24816
23,2017-11-29,BNBUSDT,2,1.9248,2.0486,1.55,1.7565,935739.25
23,2017-11-29,BTCUSDT,2,9896.79,11300.03,8520.0,9687.88,13352.538715
23,2017-11-29,ETHUSDT,2,466.17,515.0,385.0,421.7,51313.49571
24,2017-11-30,BNBUSDT,3,1.7641,2.038,1.71,1.95,748118.06
24,2017-11-30,BTCUSDT,3,9687.88,10900.0,8850.8,9838.96,9389.574329
24,2017-11-30,ETHUSDT,3,421.92,460.0,387.01,427.43,45184.22265
25,2017-12-01,BNBUSDT,4,1.95,2.1385,1.8801,2.0527,321456.28
25,2017-12-01,BTCUSDT,4,9837.0,10898.0,9380.0,10782.99,6134.923633
25,2017-12-01,ETHUSDT,4,428.05,465.97,413.74,457.51,33072.21995
26,2017-12-02,BNBUSDT,5,2.0526,2.1199,1.975,2.0797,241150.68
26,2017-12-02,BTCUSDT,5,10775.04,11190.0,10620.0,10890.01,4765.439757
26,2017-12-02,ETHUSDT,5,457.53,471.91,445.0,457.63,25796.14
27,2017-12-03,BNBUSDT,6,2.0797,2.4,2.0438,2.2617,346006.6
27,2017-12-03,BTCUSDT,6,10902.69,11825.0,10500.0,11165.41,5346.636524
27,2017-12-03,ETHUSDT,6,457.31,485.9,440.11,460.3,24490.05997
28,2017-12-04,BNBUSDT,0,2.2617,2.5898,2.2617,2.55,384958.49
28,2017-12-04,BTCUSDT,0,11165.41,11600.0,10802.0,11579.0,4663.424562
28,2017-12-04,ETHUSDT,0,460.3,470.98,445.0,466.67,23182.65949
29,2017-12-05,BNBUSDT,1,2.5305,2.75,2.5,2.612,428655.47
29,2017-12-05,BTCUSDT,1,11571.03,11853.0,11447.68,11699.99,5550.732055
29,2017-12-05,ETHUSDT,1,466.66,468.67,445.21,452.26,25387.11695
30,2017-12-06,BNBUSDT,2,2.6,2.8,2.3272,2.5134,379335.63
30,2017-12-06,BTCUSDT,2,11699.99,13615.23,11665.58,13550.05,6707.946319
30,2017-12-06,ETHUSDT,2,452.26,455.1,400.0,411.01,38638.76036
31,2017-12-07,BNBUSDT,3,2.5393,2.84,2.4001,2.6625,533510.45
31,2017-12-07,BTCUSDT,3,13541.01,16649.96,13050.0,16599.0,7487.065695
31,2017-12-07,ETHUSDT,3,413.5,427.61,375.01,406.33,41343.73269
32,2017-12-08,BNBUSDT,4,2.6489,2.8,2.206,2.79,649804.35
32,2017-12-08,BTCUSDT,4,16599.0,17204.99,14015.0,15880.0,17589.013136
32,2017-12-08,ETHUSDT,4,406.52,456.78,390.0,442.56,41064.60305
33,2017-12-09,BNBUSDT,5,2.789,2.81,2.1777,2.65,477826.16
33,2017-12-09,BTCUSDT,5,15880.01,16269.3,12535.0,14656.07,13918.758687
33,2017-12-09,ETHUSDT,5,442.56,488.0,426.4,460.0,41918.34044
34,2017-12-10,BNBUSDT,6,2.65,2.6648,2.1315,2.4619,562267.17
34,2017-12-10,BTCUSDT,6,14664.01,15720.12,12368.0,14899.98,16553.037173
34,2017-12-10,ETHUSDT,6,460.0,460.05,403.2,427.35,34919.25938
35,2017-12-11,BNBUSDT,0,2.4616,2.78,2.4505,2.687,381605.55
35,2017-12-11,BTCUSDT,0,14946.26,17470.0,14901.08,16587.97,11820.401762
35,2017-12-11,ETHUSDT,0,427.35,512.0,427.35,508.7,29763.16644
36,2017-12-12,BNBUSDT,1,2.687,2.7397,2.4545,2.5547,541865.92
36,2017-12-12,BTCUSDT,1,16587.97,16976.45,15875.0,16349.99,9436.802411
36,2017-12-12,ETHUSDT,1,508.44,639.27,494.89,620.0,59387.02259
37,2017-12-13,BNBUSDT,2,2.5547,2.74,2.265,2.719,702146.43
37,2017-12-13,BTCUSDT,2,16349.99,16546.0,14666.56,16033.29,12416.328801
37,2017-12-13,ETHUSDT,2,622.0,705.69,539.93,683.99,57694.18773
38,2017-12-14,BNBUSDT,3,2.7194,3.1521,2.6981,3.1519,998488.09
38,2017-12-14,BTCUSDT,3,16030.34,16445.0,15450.0,16334.98,11616.867151
38,2017-12-14,ETHUSDT,3,683.98,747.6,630.5,679.76,60919.26902
39,2017-12-15,BNBUSDT,4,3.1518,4.399,2.99,4.12,919574.18
39,2017-12-15,BTCUSDT,4,16334.98,17991.0,16298.45,17539.83,9181.273947
39,2017-12-15,ETHUSDT,4,679.76,689.0,594.6,674.95,39778.16165
40,2017-12-16,BNBUSDT,5,4.16,4.7201,3.8172,4.6378,775606.79
40,2017-12-16,BTCUSDT,5,17516.81,19539.0,17190.01,19102.66,4202.628709
40,2017-12-16,ETHUSDT,5,673.75,712.0,669.22,682.81,26866.0533
41,2017-12-17,BNBUSDT,6,4.63,6.7,4.596,5.999,1555662.04
41,2017-12-17,BTCUSDT,6,19120.19,19798.68,18510.0,18860.02,9177.183434
41,2017-12-17,ETHUSDT,6,681.8,728.0,680.33,707.64,31398.4476
42,2017-12-18,BNBUSDT,0,5.999,6.1,4.75,6.0,1430171.07
42,2017-12-18,BTCUSDT,0,18860.04,19300.0,17029.98,18856.25,10624.633071
42,2017-12-18,ETHUSDT,0,707.62,798.88,638.0,784.0,45673.70777
43,2017-12-19,BNBUSDT,1,5.98,6.463,5.2725,5.6999,1784870.53
43,2017-12-19,BTCUSDT,1,18856.25,18950.0,16300.0,17295.2,13210.74822
43,2017-12-19,ETHUSDT,1,784.0,864.9,729.01,798.0,69423.62125
44,2017-12-20,BNBUSDT,2,5.69,5.7,4.68,5.1502,1397302.05
44,2017-12-20,BTCUSDT,2,17295.2,17720.35,14777.66,16488.98,13450.496693
44,2017-12-20,ETHUSDT,2,798.0,828.0,661.0,790.21,72526.28416
45,2017-12-21,BNBUSDT,3,5.1819,5.6899,4.42,5.1596,996548.76
45,2017-12-21,BTCUSDT,3,16480.52,17309.5,14022.0,15492.64,20324.2173
45,2017-12-21,ETHUSDT,3,794.62,845.99,705.98,782.41,78222.53998
46,2017-12-22,BNBUSDT,4,5.1596,5.1996,3.25,4.2912,1599471.66
46,2017-12-22,BTCUSDT,4,15514.03,15699.34,10961.0,13326.61,36076.271175
46,2017-12-22,ETHUSDT,4,784.0,796.0,504.99,635.97,154630.49482
47,2017-12-23,BNBUSDT,5,4.2912,4.998,4.17,4.4,964500.62
47,2017-12-23,BTCUSDT,5,13326.61,14950.0,12978.18,13300.0,13141.538875
47,2017-12-23,ETHUSDT,5,635.15,714.99,627.97,640.34,79001.05634
48,2017-12-24,BNBUSDT,6,4.4,5.2,3.8,5.181,1047106.95
48,2017-12-24,BTCUSDT,6,13300.0,13819.99,11640.0,13500.0,28557.534988
48,2017-12-24,ETHUSDT,6,640.33,667.64,563.49,658.0,95431.94156
49,2017-12-25,BNBUSDT,0,5.1899,6.88,5.029,6.4631,1480881.6
49,2017-12-25,BTCUSDT,0,13500.0,14300.0,12708.0,13699.34,15748.207607
49,2017-12-25,ETHUSDT,0,659.4,744.0,599.99,714.95,78544.84102
50,2017-12-26,BNBUSDT,1,6.4631,10.793,6.35,9.254,3081660.72
50,2017-12-26,BTCUSDT,1,13699.34,16050.0,13533.0,15689.01,15034.668104
50,2017-12-26,ETHUSDT,1,713.12,750.0,712.56,750.0,60052.47905
51,2017-12-27,BNBUSDT,2,9.2861,11.3,8.2605,10.0731,2851073.22
51,2017-12-27,BTCUSDT,2,15709.98,16498.05,14200.15,15459.99,14959.864723
51,2017-12-27,ETHUSDT,2,750.0,766.05,693.18,739.89,51339.2782
52,2017-12-28,BNBUSDT,3,10.07,10.25,7.8,9.25,2593236.47
52,2017-12-28,BTCUSDT,3,15459.97,15539.99,13150.0,14182.11,21717.858014
52,2017-12-28,ETHUSDT,3,739.89,744.93,645.88,707.89,72679.61288
53,2017-12-29,BNBUSDT,4,9.28,9.802,8.39,8.7094,1401565.33
53,2017-12-29,BTCUSDT,4,14199.14,14981.0,13850.0,14378.9,18072.008116
53,2017-12-29,ETHUSDT,4,709.5,757.87,703.0,733.99,64028.12647
54,2017-12-30,BNBUSDT,5,8.6808,8.7094,6.9301,7.5947,1648305.01
54,2017-12-30,BTCUSDT,5,14378.99,14398.85,11750.0,12440.01,19221.158039
54,2017-12-30,ETHUSDT,5,732.9,735.0,635.82,681.06,89879.99994
55,2017-12-31,BNBUSDT,6,7.5783,8.798,7.5175,8.53,1289214.15
55,2017-12-31,BTCUSDT,6,12345.1,14050.11,12149.98,13716.36,11768.989718
55,2017-12-31,ETHUSDT,6,680.01,740.0,672.86,733.98,62628.24458
56,2018-01-01,BNBUSDT,0,8.5478,8.7,7.8,8.45,654338.84
56,2018-01-01,BTCUSDT,0,13715.65,13818.55,12750.0,13380.0,8609.915844
56,2018-01-01,ETHUSDT,0,733.01,763.55,716.8,754.99,53909.25885
57,2018-01-02,BNBUSDT,1,8.45,9.1133,8.0922,8.715,1262633.42
57,2018-01-02,BTCUSDT,1,13382.16,15473.49,12890.02,14675.11,20078.092111
57,2018-01-02,ETHUSDT,1,754.99,899.5,749.06,855.28,113257.78355
58,2018-01-03,BNBUSDT,2,8.7151,9.4697,8.2653,9.304,947392.65
58,2018-01-03,BTCUSDT,2,14690.0,15307.56,14150.0,14919.51,15905.667639
58,2018-01-03,ETHUSDT,2,855.13,950.01,810.0,934.03,89041.45688
