timestamp,date,tic,day,open,high,low,close,volume
0,2017-11-06 00:00:00,BNBUSDT,0,1.5,1.799,0.5,1.7,649.12
0,2017-11-06 00:00:00,BTCUSDT,0,7345.1,7401.0,7186.78,7215.54,251.293935
0,2017-11-06 00:00:00,ETHUSDT,0,295.19,296.84,293.0,293.2,1453.09637
1,2017-11-06 04:00:00,BNBUSDT,0,1.3,1.681,1.3,1.625,52482.55
1,2017-11-06 04:00:00,BTCUSDT,0,7226.98,7328.18,7101.0,7275.0,278.247424
1,2017-11-06 04:00:00,ETHUSDT,0,293.18,295.99,290.11,293.94,1541.87479
2,2017-11-06 08:00:00,BNBUSDT,0,1.6011,1.676,1.58,1.6288,21742.42
2,2017-11-06 08:00:00,BTCUSDT,0,7274.98,7349.0,7258.01,7304.11,209.278648
2,2017-11-06 08:00:00,ETHUSDT,0,293.84,300.99,293.72,300.98,1183.08075
3,2017-11-06 12:00:00,BNBUSDT,0,1.6288,1.6288,1.5645,1.6148,22186.53
3,2017-11-06 12:00:00,BTCUSDT,0,7324.97,7400.98,7202.07,7232.03,244.505742
3,2017-11-06 12:00:00,ETHUSDT,0,300.99,305.58,297.9,301.34,1427.43247
4,2017-11-06 16:00:00,BNBUSDT,0,1.6148,1.631,1.5645,1.5868,11769.81
4,2017-11-06 16:00:00,BTCUSDT,0,7235.02,7270.56,6957.0,7028.95,412.163782
4,2017-11-06 16:00:00,ETHUSDT,0,301.33,304.95,297.91,303.01,954.33105
5,2017-11-06 20:00:00,BNBUSDT,0,1.5948,1.598,1.55,1.571,11784.91
5,2017-11-06 20:00:00,BTCUSDT,0,7006.01,7155.0,6906.0,6960.12,367.52973
5,2017-11-06 20:00:00,ETHUSDT,0,303.03,304.4,296.12,297.97,955.6856
6,2017-11-07 00:00:00,BNBUSDT,1,1.571,1.6188,1.5389,1.6188,8357.26
6,2017-11-07 00:00:00,BTCUSDT,1,6981.72,7135.0,6909.01,7120.17,297.988596
6,2017-11-07 00:00:00,ETHUSDT,1,297.25,302.0,295.2,299.55,1248.47083
7,2017-11-07 04:00:00,BNBUSDT,1,1.6184,1.6188,1.5548,1.5705,14243.17
7,2017-11-07 04:00:00,BTCUSDT,1,7120.18,7198.49,7070.21,7159.98,197.989604
7,2017-11-07 04:00:00,ETHUSDT,1,299.45,300.0,296.53,298.75,1314.23482
8,2017-11-07 08:00:00,BNBUSDT,1,1.59,1.6184,1.5548,1.5864,4580.82
8,2017-11-07 08:00:00,BTCUSDT,1,7157.97,7182.99,7080.59,7160.55,178.419243
8,2017-11-07 08:00:00,ETHUSDT,1,299.82,302.9,298.01,302.03,734.99215
9,2017-11-07 12:00:00,BNBUSDT,1,1.6183,1.7885,1.5801,1.7353,60503.3
9,2017-11-07 12:00:00,BTCUSDT,1,7160.54,7195.0,6901.0,7038.2,310.839343
9,2017-11-07 12:00:00,ETHUSDT,1,302.05,303.52,287.0,290.22,3331.15776
10,2017-11-07 16:00:00,BNBUSDT,1,1.7191,1.799,1.6593,1.799,35369.35
10,2017-11-07 16:00:00,BTCUSDT,1,7009.27,7078.4,6966.94,7059.78,255.73866
10,2017-11-07 16:00:00,ETHUSDT,1,289.53,292.76,287.11,289.66,1810.46358
11,2017-11-07 20:00:00,BNBUSDT,1,1.79,1.8,1.7196,1.8,11075.83
11,2017-11-07 20:00:00,BTCUSDT,1,7059.66,7080.01,6966.93,7064.04,199.284048
11,2017-11-07 20:00:00,ETHUSDT,1,289.99,293.83,287.81,291.78,979.25967
12,2017-11-08 00:00:00,BNBUSDT,2,1.7901,1.946,1.7479,1.81,47473.55
12,2017-11-08 00:00:00,BTCUSDT,2,7070.0,7368.99,7035.02,7331.71,244.341229
12,2017-11-08 00:00:00,ETHUSDT,2,291.31,296.38,290.02,294.54,1309.65929
13,2017-11-08 04:00:00,BNBUSDT,2,1.8891,1.99,1.8235,1.8631,40976.62
13,2017-11-08 04:00:00,BTCUSDT,2,7331.71,7394.0,7280.0,7303.01,300.133784
13,2017-11-08 04:00:00,ETHUSDT,2,294.88,297.44,294.5,296.44,1245.64049
14,2017-11-08 08:00:00,BNBUSDT,2,1.9448,1.9448,1.8736,1.8736,15005.49
14,2017-11-08 08:00:00,BTCUSDT,2,7303.02,7420.0,7303.01,7396.0,265.158423
14,2017-11-08 08:00:00,ETHUSDT,2,297.18,299.35,295.16,297.86,1434.17508
15,2017-11-08 12:00:00,BNBUSDT,2,1.87,1.93,1.821,1.93,34977.71
15,2017-11-08 12:00:00,BTCUSDT,2,7406.47,7489.99,7361.49,7442.38,309.690162
15,2017-11-08 12:00:00,ETHUSDT,2,297.46,299.85,295.86,299.69,1492.07124
16,2017-11-08 16:00:00,BNBUSDT,2,1.9249,1.99,1.78,1.95,98567.79
16,2017-11-08 16:00:00,BTCUSDT,2,7468.99,7770.02,6651.0,7070.0,1097.672046
16,2017-11-08 16:00:00,ETHUSDT,2,299.64,320.0,292.5,314.13,7159.65008
17,2017-11-08 20:00:00,BNBUSDT,2,1.91,1.99,1.875,1.9889,110289.1
17,2017-11-08 20:00:00,BTCUSDT,2,7070.0,7320.07,6895.02,7303.0,605.303158
17,2017-11-08 20:00:00,ETHUSDT,2,313.73,317.74,302.0,303.02,3320.66154
18,2017-11-09 00:00:00,BNBUSDT,3,1.9781,2.05,1.9,2.05,44788.84
18,2017-11-09 00:00:00,BTCUSDT,3,7303.01,7392.0,7130.01,7276.0,445.303137
18,2017-11-09 00:00:00,ETHUSDT,3,303.6,312.49,299.5,307.0,2248.77586
19,2017-11-09 04:00:00,BNBUSDT,3,1.96,2.0295,1.96,2.0182,14802.42
19,2017-11-09 04:00:00,BTCUSDT,3,7277.94,7382.01,7260.01,7345.05,344.186377
19,2017-11-09 04:00:00,ETHUSDT,3,306.99,314.9,306.46,314.8,1699.55567
20,2017-11-09 08:00:00,BNBUSDT,3,2.0182,2.07,1.9704,2.0001,71318.93
20,2017-11-09 08:00:00,BTCUSDT,3,7345.05,7374.0,7040.0,7076.0,428.607844
20,2017-11-09 08:00:00,ETHUSDT,3,314.28,318.0,310.0,314.18,1936.56342
21,2017-11-09 12:00:00,BNBUSDT,3,2.0599,2.1997,2.0118,2.0711,88775.93
21,2017-11-09 12:00:00,BTCUSDT,3,7076.0,7179.0,7015.0,7134.99,323.450816
21,2017-11-09 12:00:00,ETHUSDT,3,314.2,329.0,313.52,327.54,2344.84184
22,2017-11-09 16:00:00,BNBUSDT,3,2.11,2.1302,2.08,2.1294,18489.24
22,2017-11-09 16:00:00,BTCUSDT,3,7134.99,7189.89,7100.0,7130.0,209.690756
22,2017-11-09 16:00:00,ETHUSDT,3,327.55,328.89,322.1,325.63,2097.12599
23,2017-11-09 20:00:00,BNBUSDT,3,2.1279,2.1279,1.9,1.99,48861.84
23,2017-11-09 20:00:00,BTCUSDT,3,7150.02,7184.38,7035.64,7079.99,162.159378
23,2017-11-09 20:00:00,ETHUSDT,3,325.72,326.58,315.0,317.87,824.43668
24,2017-11-10 00:00:00,BNBUSDT,4,1.99,2.02,1.9,1.9498,71306.59
24,2017-11-10 00:00:00,BTCUSDT,4,7079.0,7264.42,7050.01,7213.41,239.923389
24,2017-11-10 00:00:00,ETHUSDT,4,318.5,319.34,316.16,318.68,1585.09234
25,2017-11-10 04:00:00,BNBUSDT,4,1.94,1.9497,1.8923,1.895,29827.82
25,2017-11-10 04:00:00,BTCUSDT,4,7223.79,7279.91,7118.61,7149.18,266.031601
25,2017-11-10 04:00:00,ETHUSDT,4,318.68,319.5,313.0,314.99,1646.01231
26,2017-11-10 08:00:00,BNBUSDT,4,1.9459,2.0101,1.7998,1.7998,117299.01
26,2017-11-10 08:00:00,BTCUSDT,4,7149.19,7185.0,6800.0,6831.2,587.071926
26,2017-11-10 08:00:00,ETHUSDT,4,314.99,322.65,311.01,311.56,2020.18309
27,2017-11-10 12:00:00,BNBUSDT,4,1.7998,1.825,1.6631,1.7723,136862.79
27,2017-11-10 12:00:00,BTCUSDT,4,6831.2,6858.78,6508.0,6760.02,921.503411
27,2017-11-10 12:00:00,ETHUSDT,4,311.03,312.26,296.12,301.0,4519.23594
28,2017-11-10 16:00:00,BNBUSDT,4,1.744,1.89,1.6168,1.6501,68685.37
28,2017-11-10 16:00:00,BTCUSDT,4,6760.02,6910.0,6351.0,6526.31,644.367134
28,2017-11-10 16:00:00,ETHUSDT,4,300.98,306.47,285.82,294.72,3420.51166
29,2017-11-10 20:00:00,BNBUSDT,4,1.67,1.8799,1.6019,1.7133,60677.32
29,2017-11-10 20:00:00,BTCUSDT,4,6526.31,6699.99,6255.01,6506.98,595.806644
29,2017-11-10 20:00:00,ETHUSDT,4,294.69,303.56,287.0,293.5,2406.13023
30,2017-11-11 00:00:00,BNBUSDT,5,1.79,1.925,1.79,1.8799,72502.12
30,2017-11-11 00:00:00,BTCUSDT,5,6503.0,6797.98,6453.03,6730.0,428.531147
30,2017-11-11 00:00:00,ETHUSDT,5,293.52,302.99,291.91,300.01,1962.9906
31,2017-11-11 04:00:00,BNBUSDT,5,1.9178,1.9179,1.8001,1.848,20262.65
31,2017-11-11 04:00:00,BTCUSDT,5,6730.02,6766.99,6553.35,6578.74,272.009457
31,2017-11-11 04:00:00,ETHUSDT,5,300.01,302.29,297.03,300.98,1356.77669
32,2017-11-11 08:00:00,BNBUSDT,5,1.8023,1.8471,1.69,1.7304,35696.29
32,2017-11-11 08:00:00,BTCUSDT,5,6578.74,6708.68,6402.01,6410.02,291.651219
32,2017-11-11 08:00:00,ETHUSDT,5,300.98,305.0,296.0,296.45,1159.66031
33,2017-11-11 12:00:00,BNBUSDT,5,1.7304,1.7304,1.58,1.6,98239.69
33,2017-11-11 12:00:00,BTCUSDT,5,6410.02,6478.0,6125.0,6285.84,827.875885
33,2017-11-11 12:00:00,ETHUSDT,5,296.63,301.74,292.0,299.0,2417.73787
34,2017-11-11 16:00:00,BNBUSDT,5,1.65,1.7,1.58,1.7,16008.73
34,2017-11-11 16:00:00,BTCUSDT,5,6230.47,6358.99,6100.0,6240.03,556.308661
34,2017-11-11 16:00:00,ETHUSDT,5,298.43,314.99,294.22,313.87,2305.40604
35,2017-11-11 20:00:00,BNBUSDT,5,1.6521,1.7,1.6401,1.655,16128.89
35,2017-11-11 20:00:00,BTCUSDT,5,6234.11,6415.45,6105.0,6245.05,377.780492
35,2017-11-11 20:00:00,ETHUSDT,5,313.87,318.0,308.51,310.02,1647.59128
36,2017-11-12 00:00:00,BNBUSDT,6,1.6567,1.6567,1.5,1.53,106506.67
36,2017-11-12 00:00:00,BTCUSDT,6,6245.05,6245.05,5830.0,5956.02,820.32713
