date,open,high,low,close,volume,tic,day
2017-11-06,7345.1,7401.0,6906.0,6960.12,1763.019261,BTCUSDT,0
2017-11-06,1.5,1.799,0.5,1.571,120615.34,BNBUSDT,0
2017-11-06,295.19,305.58,290.11,297.97,7515.50103,ETHUSDT,0
2017-11-07,6981.72,7198.49,6901.0,7064.04,1440.259494,BTCUSDT,1
2017-11-07,1.571,1.8,1.5389,1.8,134129.73,BNBUSDT,1
2017-11-07,297.25,303.52,287.0,291.78,9418.57881,ETHUSDT,1
2017-11-08,7070.0,7770.02,6651.0,7303.0,2822.298802,BTCUSDT,2
2017-11-08,1.7901,1.99,1.7479,1.9889,347290.26,BNBUSDT,2
2017-11-08,291.31,320.0,290.02,303.02,15961.85772,ETHUSDT,2
2017-11-09,7303.01,7392.0,7015.0,7079.99,1913.398308,BTCUSDT,3
2017-11-09,1.9781,2.1997,1.9,1.99,287037.2,BNBUSDT,3
2017-11-09,303.6,329.0,299.5,317.87,11151.29946,ETHUSDT,3
2017-11-10,7079.0,7279.91,6255.01,6506.98,3254.704105,BTCUSDT,4
2017-11-10,1.99,2.02,1.6019,1.7133,484658.9,BNBUSDT,4
2017-11-10,318.5,322.65,285.82,293.5,15597.16557,ETHUSDT,4
2017-11-11,6503.0,6797.98,6100.0,6245.05,2754.156861,BTCUSDT,5
2017-11-11,1.79,1.925,1.58,1.655,258838.37,BNBUSDT,5
2017-11-11,293.52,318.0,291.91,310.02,10850.16279,ETHUSDT,5
2017-11-12,6245.05,6630.0,5325.01,5811.03,4968.483069,BTCUSDT,6
2017-11-12,1.6567,1.7,1.34,1.49,457159.72,BNBUSDT,6
2017-11-12,310.87,316.99,281.01,305.24,21123.15319,ETHUSDT,6
2017-11-13,5839.94,6697.47,5699.99,6465.99,2621.243039,BTCUSDT,0
2017-11-13,1.5,1.7381,1.5,1.68,166770.73,BNBUSDT,0
2017-11-13,304.0,318.88,303.7,312.99,15551.67434,ETHUSDT,0
2017-11-14,6465.99,6684.98,6311.07,6574.99,1254.292531,BTCUSDT,1
2017-11-14,1.6801,1.7381,1.5321,1.5911,177246.45,BNBUSDT,1
2017-11-14,313.0,337.54,312.94,335.61,17709.2227,ETHUSDT,1
2017-11-15,6575.99,7298.0,6575.99,7240.06,1779.605845,BTCUSDT,2
2017-11-15,1.5721,1.6794,1.49,1.5532,297638.34,BNBUSDT,2
2017-11-15,335.6,339.0,324.0,331.33,15597.16131,ETHUSDT,2
2017-11-16,7240.14,7940.0,7076.0,7864.5,2331.95675,BTCUSDT,3
2017-11-16,1.5533,1.6699,1.511,1.5599,198029.66,BNBUSDT,3
2017-11-16,330.98,334.75,321.41,331.49,14145.71696,ETHUSDT,3
2017-11-17,7876.98,7989.0,7451.0,7699.19,3982.395925,BTCUSDT,4
2017-11-17,1.5599,1.5765,1.49,1.5041,419446.58,BNBUSDT,4
2017-11-17,331.49,334.6,323.84,331.23,18042.02544,ETHUSDT,4
2017-11-18,7680.01,7819.99,7422.0,7761.94,3954.266477,BTCUSDT,5
2017-11-18,1.5041,1.6699,1.492,1.6699,172099.86,BNBUSDT,5
2017-11-18,331.2,349.9,326.01,346.66,14361.4973,ETHUSDT,5
2017-11-19,7761.94,8123.15,7650.33,8038.0,3867.340444,BTCUSDT,6
2017-11-19,1.6524,1.6948,1.575,1.6,179701.62,BNBUSDT,6
2017-11-19,346.66,373.56,343.07,354.15,19397.74898,ETHUSDT,6
2017-11-20,8057.11,8319.99,7954.0,8212.0,3886.634348,BTCUSDT,0
2017-11-20,1.6,1.6522,1.5605,1.64,159737.16,BNBUSDT,0
2017-11-20,355.15,372.5,353.9,367.42,18277.0194,ETHUSDT,0
2017-11-21,8212.49,8400.0,7801.0,8119.51,4544.474016,BTCUSDT,1
2017-11-21,1.6257,1.6419,1.54,1.5874,413447.37,BNBUSDT,1
2017-11-21,367.42,375.5,350.02,362.12,26237.64398,ETHUSDT,1
2017-11-22,8091.09,8322.68,8091.09,8205.92,3545.00571,BTCUSDT,2
2017-11-22,1.5728,1.6211,1.5556,1.6158,196457.62,BNBUSDT,2
2017-11-22,362.12,384.84,359.0,380.65,18121.58484,ETHUSDT,2
2017-11-23,8233.03,8260.0,8000.0,8019.99,4093.952687,BTCUSDT,3
2017-11-23,1.6,1.618,1.5388,1.57,184458.49,BNBUSDT,3
